0,1,kmeans_label,agglo_label,ensemble_label
0.9569951,-0.29010385,0,0,0.0
-0.5664621,0.82408774,1,1,1.0
-0.37210214,0.9281918,1,1,1.0
-0.9095294,-0.41563973,0,1,2.0
-0.46526214,0.8851729,1,1,1.0
0.9118112,-0.4106099,0,0,0.0
-0.6164477,0.78739583,1,1,1.0
-0.832154,0.5545447,1,1,1.0
0.6987054,-0.71540946,0,0,0.0
0.89225715,-0.45152774,0,0,0.0
-0.6177188,0.78639907,1,1,1.0
0.3542384,0.9351552,1,1,1.0
0.7304082,0.68301094,1,0,2.0
0.8436401,0.53690916,1,0,2.0
0.7301508,0.683286,1,0,2.0
-0.23801841,0.9712606,1,1,1.0
0.81642973,0.5774448,1,0,2.0
0.99321264,0.11631241,0,0,0.0
0.21643342,0.9762974,1,1,1.0
-0.50629306,-0.86236143,0,0,0.0
-0.048912246,0.9988031,1,1,1.0
0.97128886,0.23790307,0,0,0.0
-0.6279869,0.7782239,1,1,1.0
0.93009657,-0.36731493,0,0,0.0
-0.53742176,0.8433137,1,1,1.0
0.41113493,-0.91157454,0,0,0.0
0.5406272,-0.8412622,0,0,0.0
0.6187327,-0.7856016,0,0,0.0
0.05508404,0.9984817,1,1,1.0
0.16728038,0.98590934,1,1,1.0
0.9844554,-0.17563492,0,0,0.0
0.8271874,0.56192607,1,0,2.0
0.8466208,0.53219664,1,0,2.0
-0.44590756,-0.8950791,0,0,0.0
0.7302031,0.68323016,1,0,2.0
-0.20434056,0.9788999,1,1,1.0
-0.3400499,-0.9404074,0,0,0.0
-0.63159096,-0.7753018,0,0,0.0
0.97402877,0.22642411,0,0,0.0
0.97972316,0.20035605,0,0,0.0
0.971221,0.23818026,0,0,0.0
-0.1212011,-0.9926279,0,0,0.0
0.98610914,-0.16609892,0,0,0.0
0.99840504,-0.05645552,0,0,0.0
0.7289283,0.68459004,1,0,2.0
0.99850017,-0.054748073,0,0,0.0
0.9929213,-0.11877433,0,0,0.0
0.5150518,-0.8571591,0,0,0.0
0.8440483,0.5362671,1,0,2.0
0.93887305,-0.34426367,0,0,0.0
0.37440202,-0.9272665,0,0,0.0
0.98059964,-0.19602136,0,0,0.0
0.71444327,0.6996934,1,0,2.0
0.9987581,-0.0498215,0,0,0.0
0.90883553,0.41715458,1,0,2.0
0.72772485,0.6858692,1,0,2.0
0.006537372,0.9999786,1,1,1.0
-0.07571039,0.99712986,1,1,1.0
-0.14680374,0.98916566,1,1,1.0
0.7268499,0.6867963,1,0,2.0
0.97855514,0.20598511,0,0,0.0
-0.14788865,0.9890041,1,1,1.0
0.9784651,-0.20641227,0,0,0.0
-0.8308326,0.55652237,1,1,1.0
0.89364254,-0.44877946,0,0,0.0
0.8743264,0.48533842,1,0,2.0
-0.8816125,0.47197407,1,1,1.0
-0.8114576,0.5844113,1,1,1.0
0.42842928,-0.90357536,0,0,0.0
-0.67611754,-0.7367938,0,0,0.0
0.9623866,0.27168384,0,0,0.0
0.19196928,0.9814009,1,1,1.0
0.99778545,0.06651459,0,0,0.0
0.81307197,0.5821631,1,0,2.0
0.7356058,0.6774098,1,0,2.0
0.38215926,0.9240964,1,1,1.0
0.15581875,0.98778564,1,1,1.0
0.96820575,0.25015536,0,0,0.0
-0.10096725,0.99488974,1,1,1.0
0.068485014,0.9976522,1,1,1.0
0.029196542,0.9995737,1,1,1.0
-0.5165567,-0.856253,0,0,0.0
-0.14891893,0.98884946,1,1,1.0
0.030258952,0.99954206,1,1,1.0
-0.63965446,-0.76866263,0,0,0.0
0.01755739,0.99984586,1,1,1.0
0.21999745,0.97550046,1,1,1.0
0.99449086,0.104823284,0,0,0.0
0.965002,0.2622426,0,0,0.0
0.8473417,0.531048,1,0,2.0
0.89190656,0.45221967,1,0,2.0
0.17164646,0.9851586,1,1,1.0
0.89854527,0.438881,1,0,2.0
-0.09205822,0.99575365,1,1,1.0
0.8804006,0.4742307,1,0,2.0
0.8074422,0.5899466,1,0,2.0
-0.5485955,-0.8360879,0,0,0.0
0.9121086,0.40994856,1,0,2.0
0.97512007,0.22167769,0,0,0.0
0.99241024,0.12297143,0,0,0.0
-0.15160112,0.9884418,1,1,1.0
0.7288806,0.6846409,1,0,2.0
-0.40465936,0.9144676,1,1,1.0
0.89097005,0.45406204,1,0,2.0
-0.44963628,-0.8932117,0,0,0.0
0.9351548,0.35423934,0,0,0.0
0.9806192,0.1959233,0,0,0.0
0.9601318,0.27954775,0,0,0.0
0.95132506,0.30818918,0,0,0.0
0.9784035,-0.2067038,0,0,0.0
-0.03322828,0.99944776,1,1,1.0
0.8889134,0.4580752,1,0,2.0
0.9826494,0.1854729,0,0,0.0
0.8934014,0.44925937,1,0,2.0
0.98145384,0.19169848,0,0,0.0
0.90486133,0.42570645,1,0,2.0
0.5169123,0.8560384,1,1,1.0
0.942561,0.33403403,0,0,0.0
-0.55023,-0.8350131,0,0,0.0
0.976058,0.2175107,0,0,0.0
0.9352633,0.35395274,0,0,0.0
0.52051294,0.8538537,1,1,1.0
-0.15147373,0.98846126,1,1,1.0
0.83416545,0.5515144,1,0,2.0
0.9994492,0.03318625,0,0,0.0
0.8414705,0.5403031,1,0,2.0
0.83352137,0.5524873,1,0,2.0
0.8371752,0.54693484,1,0,2.0
0.9781485,0.20790754,0,0,0.0
0.96318096,0.26885408,0,0,0.0
0.9743816,-0.22490092,0,0,0.0
0.87231934,0.48893648,1,0,2.0
0.63886917,0.7693155,1,1,1.0
0.8341325,-0.55156416,0,0,0.0
0.9797286,0.20032941,0,0,0.0
0.93436795,0.35630968,0,0,0.0
0.9004178,0.4350262,1,0,2.0
0.3216042,0.9468742,1,1,1.0
0.9990338,0.043948483,0,0,0.0
0.1642457,0.98641944,1,1,1.0
-0.34757575,0.93765193,1,1,1.0
0.042767737,0.999085,1,1,1.0
0.5926608,-0.80545217,0,0,0.0
0.22145568,0.97517043,1,1,1.0
0.9991403,-0.041456606,0,0,0.0
0.06185923,0.99808484,1,1,1.0
0.05541717,-0.9984633,0,0,0.0
0.9920941,0.12549603,0,0,0.0
-0.6141419,-0.78919566,0,0,0.0
-0.2998777,-0.9539777,0,0,0.0
0.19204855,-0.9813854,0,0,0.0
0.9849505,0.17283678,0,0,0.0
0.914062,0.40557444,0,0,0.0
0.98525006,0.17112061,0,0,0.0
0.073132776,0.9973222,1,1,1.0
0.6045245,0.7965866,1,1,1.0
0.93734956,-0.34839016,0,0,0.0
0.99976146,-0.021839594,0,0,0.0
-0.13644397,0.99064773,1,1,1.0
-0.4580109,-0.88894653,0,0,0.0
-0.3904177,0.92063785,1,1,1.0
0.056713652,-0.99839056,0,0,0.0
0.99568796,0.09276557,0,0,0.0
0.999759,-0.021950047,0,0,0.0
-0.6057117,-0.7956842,0,0,0.0
-0.5901398,-0.8073011,0,0,0.0
0.15511663,0.98789614,1,1,1.0
0.9663889,0.25708488,0,0,0.0
0.9442872,0.3291225,0,0,0.0
0.96213824,0.27256215,0,0,0.0
0.17040668,-0.9853738,0,0,0.0
0.06979543,0.9975613,1,1,1.0
0.98017293,0.19814363,0,0,0.0
-0.5880858,-0.8087986,0,0,0.0
0.055186007,-0.99847615,0,0,0.0
0.20858614,0.978004,1,1,1.0
-0.0137253115,0.9999058,1,1,1.0
0.65339446,-0.7570176,0,0,0.0
0.29978207,-0.95400774,0,0,0.0
-0.2462478,-0.9692069,0,0,0.0
0.9355862,0.35309842,0,0,0.0
0.5771802,-0.8166168,0,0,0.0
0.9982687,-0.058817416,0,0,0.0
0.9981048,-0.061536733,0,0,0.0
0.2202339,0.97544706,1,1,1.0
-0.40716168,-0.9133561,0,0,0.0
-0.22719757,0.9738487,1,1,1.0
-0.081557274,0.99666864,1,1,1.0
0.944907,0.32733893,0,0,0.0
0.31339324,-0.94962347,0,0,0.0
0.81513053,0.5792772,1,0,2.0
0.023839558,0.9997158,1,1,1.0
-0.3254584,0.94555634,1,1,1.0
0.7289495,0.6845675,1,0,2.0
0.3512241,-0.9362914,0,0,0.0
0.5036971,-0.8638804,0,0,0.0
-0.6291049,0.7773204,1,1,1.0
0.99598485,-0.089522,0,0,0.0
0.9692983,0.24588788,0,0,0.0
-0.0024654476,0.999997,1,1,1.0
-0.112261645,0.9936787,1,1,1.0
-0.1994498,0.979908,1,1,1.0
0.18807934,0.98215383,1,1,1.0
-0.6575604,-0.7534018,0,0,0.0
0.9317642,-0.36306405,0,0,0.0
-0.45144,-0.89230144,0,0,0.0
-0.3781483,0.92574507,1,1,1.0
0.7288773,0.68464434,1,0,2.0
0.9879746,-0.15461636,0,0,0.0
0.38828897,0.9215377,1,1,1.0
-0.007841558,0.9999692,1,1,1.0
-0.45154926,-0.8922462,0,0,0.0
0.81650454,0.577339,1,0,2.0
0.6731094,0.73954296,1,1,1.0
0.6819952,0.7313567,1,1,1.0
0.21971934,0.9755631,1,1,1.0
-0.08398503,0.996467,1,1,1.0
0.9795569,0.20116723,0,0,0.0
0.16402686,0.98645586,1,1,1.0
0.9984466,-0.05571577,0,0,0.0
0.8117322,0.5840298,1,0,2.0
-0.43509436,-0.9003849,0,0,0.0
0.82887924,0.5594276,1,0,2.0
0.4926677,-0.87021744,0,0,0.0
0.66346633,-0.7482062,0,0,0.0
-0.602017,0.7984833,1,1,1.0
-0.62825745,0.77800554,1,1,1.0
-0.9992287,-0.03926904,1,1,1.0
-0.104238495,0.9945524,1,1,1.0
0.16492294,0.9863065,1,1,1.0
-0.51386094,-0.85787356,0,0,0.0
0.55450684,0.83217907,1,1,1.0
0.7577932,0.65249485,1,0,2.0
0.7481171,0.66356677,1,0,2.0
0.18787868,0.9821923,1,1,1.0
0.6050966,0.79615206,1,1,1.0
-0.10211859,0.99477226,1,1,1.0
-0.39101973,-0.92038226,0,0,0.0
0.7198075,0.69417375,1,0,2.0
0.031930238,-0.9994901,0,0,0.0
0.90708584,0.4209457,1,0,2.0
0.90382046,0.427912,1,0,2.0
0.8943012,0.44746557,1,0,2.0
